order_id;product_id;add_to_cart_order;reordered
1034887;32689;5.0;1
1306727;35383;14.0;0
1911392;33000;8.0;1
2285999;24184;20.0;1
188093;42736;4.0;1
1073189;6391;5.0;0
389172;23986;12.0;1
3161859;25890;4.0;1
1790291;4824;2.0;0
24913;34466;4.0;0
2923770;17154;12.0;0
1804973;27966;6.0;1
742451;43234;3.0;1
1588857;31553;5.0;0
517667;890;1.0;0
1453921;17652;4.0;1
490844;1468;9.0;1
1815170;35752;2.0;0
1740706;149;12.0;0
771150;10212;3.0;1
2527379;31869;14.0;0
1824853;12604;19.0;1
44856;40571;2.0;1
2922973;20419;17.0;0
2779762;32429;7.0;0
2925307;41844;2.0;1
2472391;1896;1.0;1
2494237;47289;19.0;0
2427706;13385;1.0;0
3238254;23341;9.0;1
3176215;17794;10.0;0
2630543;45061;5.0;0
1542697;44234;12.0;0
2702106;24499;8.0;0
34768;8424;4.0;0
538247;24535;5.0;1
2518136;24035;2.0;0
168372;651;3.0;1
319784;9699;9.0;0
3355301;350;1.0;0
817499;27429;6.0;1
1959456;15040;12.0;0
1232115;33529;18.0;1
1305151;5618;23.0;0
2664438;39877;11.0;1
1967753;21802;5.0;1
1594370;11422;10.0;1
1640374;8561;2.0;0
1616308;27156;3.0;0
2723217;41242;3.0;0
888673;18288;8.0;0
2957085;16759;3.0;1
926754;41687;18.0;0
3047174;18523;3.0;1
270256;14335;1.0;0
3037014;6948;3.0;0
2899618;40310;7.0;1
1536752;2547;1.0;1
502346;35221;6.0;0
194419;6046;21.0;1
2988520;17007;4.0;1
1201434;40332;1.0;1
313695;14536;7.0;0
2629345;24489;7.0;1
2169938;27355;18.0;0
2731098;24024;2.0;1
3208828;17948;5.0;0
129946;38456;9.0;0
2090654;46505;3.0;1
3363694;39928;1.0;1
2332072;44734;20.0;1
1516477;18027;11.0;1
1745708;36878;1.0;1
2318972;29662;2.0;0
1104965;41349;5.0;0
1857240;39275;9.0;0
2133185;24830;8.0;1
1191230;24852;4.0;1
863604;41007;2.0;1
2188097;38273;18.0;0
1411169;25630;4.0;0
1397381;31404;13.0;0
737139;8390;4.0;1
1192763;29898;3.0;1
1348508;36082;8.0;0
3077760;8153;1.0;1
2547116;24852;1.0;1
2818237;16874;4.0;0
1147072;2966;3.0;1
1840981;28851;22.0;1
3025824;44142;5.0;1
2834090;12456;8.0;0
2618364;27985;14.0;0
947710;48775;26.0;0
3131760;47209;9.0;0
3007564;45615;19.0;1
1693548;26177;9.0;0
4354;21240;7.0;1
1184262;42617;13.0;0
3033406;24964;17.0;1
792359;7485;5.0;1
2203905;889;2.0;0
2444564;41593;8.0;0
3231817;26209;7.0;1
314634;33754;3.0;1
3140389;21511;7.0;0
436020;6182;7.0;1
1271223;432;2.0;1
790662;46564;16.0;1
1282747;44532;5.0;1
2842383;32133;10.0;0
2105497;38837;1.0;0
1545091;12341;10.0;1
1977443;17668;5.0;0
3030350;24221;6.0;1
1484444;7722;6.0;0
3213810;3280;1.0;1
1418216;25879;1.0;1
1853139;22238;13.0;1
344235;42372;6.0;0
3166494;47900;1.0;0
1402166;18656;8.0;0
2354358;2087;1.0;0
2342399;43875;11.0;0
388564;16044;6.0;0
603448;24852;2.0;1
2171268;13237;8.0;0
2298622;7781;9.0;1
1319882;42421;21.0;0
2912504;1342;5.0;1
3274691;46654;1.0;1
397585;11520;1.0;0
3382021;27695;4.0;0
1267698;45007;6.0;1
922590;37067;2.0;1
2817154;16249;4.0;1
