DateCrawled,Price,VehicleType,RegistrationYear,Gearbox,Power,Model,Mileage,RegistrationMonth,FuelType,Brand,NotRepaired,DateCreated,NumberOfPictures,PostalCode,LastSeen
15/03/2016 23:52,16999,suv,2012,manual,160,tiguan,30000,12,petrol,volkswagen,no,15/03/2016 00:00,0,13595,05/04/2016 23:16
01/04/2016 12:48,17999,coupe,2007,auto,218,3er,80000,2,petrol,bmw,,01/04/2016 00:00,0,23738,07/04/2016 09:17
24/03/2016 21:38,6000,sedan,2001,auto,184,x_reihe,150000,9,gasoline,bmw,no,24/03/2016 00:00,0,30880,26/03/2016 07:47
19/03/2016 14:42,1199,small,1997,manual,90,civic,150000,3,petrol,honda,no,19/03/2016 00:00,0,44147,20/03/2016 16:18
13/03/2016 20:49,8999,sedan,2008,manual,143,1er,150000,2,gasoline,bmw,no,13/03/2016 00:00,0,84061,24/03/2016 07:47
05/03/2016 17:39,290,small,1998,manual,44,punto,150000,1,petrol,fiat,no,05/03/2016 00:00,0,88326,06/04/2016 02:45
28/03/2016 19:39,8450,sedan,2009,manual,140,civic,125000,2,petrol,honda,,28/03/2016 00:00,0,85560,07/04/2016 01:45
03/04/2016 21:36,500,bus,1998,manual,0,vito,150000,0,gasoline,mercedes_benz,,03/04/2016 00:00,0,39326,03/04/2016 21:36
23/03/2016 14:52,500,sedan,1989,manual,99,3er,150000,1,petrol,bmw,yes,23/03/2016 00:00,0,95028,05/04/2016 17:21
27/03/2016 00:45,4699,sedan,2004,manual,102,a3,150000,2,petrol,audi,no,26/03/2016 00:00,0,64560,07/04/2016 00:44
05/03/2016 21:36,200,,2016,,60,astra,125000,0,petrol,opel,,05/03/2016 00:00,0,26603,06/03/2016 04:15
29/03/2016 10:38,1200,,2000,manual,58,,150000,0,petrol,renault,no,29/03/2016 00:00,0,47804,31/03/2016 02:18
09/03/2016 23:43,2100,wagon,2007,manual,80,fabia,150000,5,petrol,skoda,no,09/03/2016 00:00,0,38239,20/03/2016 16:44
28/03/2016 10:58,1350,sedan,1998,manual,110,4_reihe,100000,10,petrol,peugeot,no,28/03/2016 00:00,0,55743,06/04/2016 12:45
31/03/2016 23:51,499,bus,1998,manual,0,other,150000,5,,mazda,,31/03/2016 00:00,0,59067,03/04/2016 02:16
23/03/2016 13:46,899,small,2002,manual,60,micra,150000,8,petrol,nissan,no,23/03/2016 00:00,0,45663,29/03/2016 07:16
14/03/2016 14:56,0,,1970,,0,,150000,0,,volkswagen,,14/03/2016 00:00,0,21035,16/03/2016 05:44
12/03/2016 21:06,6250,other,2008,manual,136,other,150000,0,gasoline,renault,,12/03/2016 00:00,0,65205,05/04/2016 11:50
09/03/2016 18:57,4999,sedan,1975,auto,101,other,125000,8,petrol,mercedes_benz,no,09/03/2016 00:00,0,26736,10/03/2016 15:48
05/04/2016 09:36,7000,wagon,2010,manual,80,golf,80000,6,petrol,volkswagen,yes,05/04/2016 00:00,0,81249,07/04/2016 12:15
11/03/2016 14:46,4050,convertible,2006,manual,90,tigra,125000,4,petrol,opel,no,11/03/2016 00:00,0,49451,15/03/2016 05:17
25/03/2016 07:54,10,,2016,manual,60,golf,150000,4,petrol,volkswagen,,25/03/2016 00:00,0,26197,05/04/2016 05:46
10/03/2016 13:58,1150,wagon,2002,manual,101,laguna,150000,12,,renault,,10/03/2016 00:00,0,8060,07/04/2016 09:45
26/03/2016 13:43,1680,suv,1994,auto,0,other,150000,7,lpg,ford,yes,26/03/2016 00:00,0,44329,02/04/2016 02:47
27/03/2016 17:48,1900,small,2000,manual,88,2_reihe,150000,2,,peugeot,no,27/03/2016 00:00,0,42105,29/03/2016 07:17
15/03/2016 00:57,0,other,2009,,0,,50000,0,,sonstige_autos,,14/03/2016 00:00,0,81927,07/04/2016 01:45
08/03/2016 17:51,2740,small,2005,manual,86,getz,60000,2,petrol,hyundai,no,08/03/2016 00:00,0,75223,05/04/2016 06:16
22/03/2016 11:56,1500,sedan,1994,manual,99,80,150000,11,petrol,audi,,22/03/2016 00:00,0,90513,06/04/2016 00:46
07/03/2016 00:49,699,wagon,1999,auto,170,5er,150000,0,petrol,bmw,,06/03/2016 00:00,0,17392,12/03/2016 12:15
01/04/2016 19:50,8200,bus,2006,manual,105,touran,125000,6,gasoline,volkswagen,no,01/04/2016 00:00,0,51709,05/04/2016 16:45
14/03/2016 20:58,0,wagon,1997,manual,122,c_klasse,150000,3,petrol,mercedes_benz,no,14/03/2016 00:00,0,73347,06/04/2016 09:45
26/03/2016 21:58,2000,small,2001,manual,110,cordoba,150000,2,gasoline,seat,no,26/03/2016 00:00,0,97262,28/03/2016 11:17
28/03/2016 21:54,8800,sedan,2008,manual,143,1er,90000,3,petrol,bmw,no,28/03/2016 00:00,0,76316,05/04/2016 02:18
29/03/2016 20:38,2399,sedan,1998,manual,101,vectra,60000,4,petrol,opel,no,29/03/2016 00:00,0,76829,06/04/2016 06:45
07/03/2016 21:43,9700,convertible,2011,auto,99,500,40000,4,petrol,fiat,no,07/03/2016 00:00,0,97244,13/03/2016 00:17
14/03/2016 20:25,15650,convertible,2006,auto,231,slk,70000,3,petrol,mercedes_benz,no,14/03/2016 00:00,0,35396,06/04/2016 20:17
19/03/2016 21:37,1400,,2017,auto,170,,150000,8,,bmw,yes,19/03/2016 00:00,0,1705,07/04/2016 12:17
11/03/2016 19:37,4000,sedan,1995,manual,115,golf,100000,0,petrol,volkswagen,no,11/03/2016 00:00,0,18055,06/04/2016 00:15
07/03/2016 17:41,8500,,2017,manual,75,up,60000,1,petrol,volkswagen,no,07/03/2016 00:00,0,52379,06/04/2016 05:16
17/03/2016 18:52,8450,coupe,2004,manual,180,tt,150000,8,petrol,audi,no,17/03/2016 00:00,0,45329,17/03/2016 18:52
28/03/2016 12:59,5100,wagon,2004,auto,150,c_klasse,150000,11,gasoline,mercedes_benz,no,28/03/2016 00:00,0,68782,06/04/2016 16:16
21/03/2016 07:55,300,,2016,manual,45,,150000,0,petrol,volkswagen,yes,21/03/2016 00:00,0,32657,28/03/2016 02:18
03/04/2016 14:48,900,small,2002,manual,60,1_reihe,150000,4,petrol,peugeot,no,03/04/2016 00:00,0,23970,05/04/2016 13:47
16/03/2016 13:39,1750,small,2002,manual,0,stilo,125000,0,,fiat,,16/03/2016 00:00,0,35579,17/03/2016 12:16
04/04/2016 20:48,850,convertible,1995,manual,90,r19,150000,1,petrol,renault,,04/04/2016 00:00,0,85748,04/04/2016 20:48
28/03/2016 18:41,2899,convertible,1991,manual,100,3er,150000,0,petrol,bmw,no,28/03/2016 00:00,0,33649,07/04/2016 00:17
04/04/2016 11:57,2690,sedan,2007,manual,116,1er,150000,7,petrol,bmw,yes,04/04/2016 00:00,0,40227,04/04/2016 11:57
31/03/2016 11:57,7300,,2017,auto,313,touareg,150000,7,,volkswagen,no,31/03/2016 00:00,0,53844,02/04/2016 07:17
01/04/2016 20:50,950,sedan,1996,manual,116,vectra,125000,12,petrol,opel,no,01/04/2016 00:00,0,63607,01/04/2016 20:50
30/03/2016 20:52,6990,sedan,2010,manual,116,astra,125000,10,petrol,opel,no,30/03/2016 00:00,0,52457,01/04/2016 15:48
09/03/2016 13:54,11975,convertible,2009,manual,120,cooper,80000,11,petrol,mini,no,09/03/2016 00:00,0,26316,11/03/2016 09:17
08/03/2016 19:42,6750,convertible,2009,manual,150,2_reihe,125000,6,petrol,peugeot,no,08/03/2016 00:00,0,31199,11/03/2016 16:16
04/04/2016 11:38,9250,sedan,2010,manual,122,1er,125000,5,petrol,bmw,no,04/04/2016 00:00,0,54518,06/04/2016 12:17
28/03/2016 12:47,500,small,1998,manual,55,micra,125000,11,petrol,nissan,yes,28/03/2016 00:00,0,84149,06/04/2016 15:46
22/03/2016 23:56,350,sedan,1993,manual,90,80,150000,2,petrol,audi,yes,22/03/2016 00:00,0,93199,24/03/2016 15:16
14/03/2016 14:45,5000,bus,2003,manual,136,touran,150000,7,gasoline,volkswagen,yes,14/03/2016 00:00,0,70437,18/03/2016 01:45
24/03/2016 17:25,7980,convertible,2011,auto,84,fortwo,30000,6,petrol,smart,no,24/03/2016 00:00,0,65510,06/04/2016 04:15
