order_id;product_id;add_to_cart_order;reordered
551084;23909;9.0;1
1182906;17419;2.0;1
733987;31612;8.0;0
1999227;37120;8.0;0
3046371;7952;8.0;1
903109;27966;1.0;1
2901538;40397;11.0;1
2439545;18418;9.0;0
1442498;47766;7.0;1
1968506;17317;7.0;1
2958924;30391;13.0;0
3373979;49585;3.0;1
1211118;31564;7.0;1
2310517;8424;12.0;0
591241;913;14.0;0
1366463;45535;24.0;0
2737881;38226;15.0;1
2248505;35939;1.0;1
1302330;12872;4.0;1
310071;42445;10.0;1
515066;22959;23.0;1
3064271;37335;5.0;1
1551934;14332;19.0;0
770340;27038;2.0;1
3026025;21386;3.0;0
2460727;19678;19.0;1
2429738;44632;3.0;1
854355;28634;8.0;1
3225931;22367;13.0;1
756452;44156;13.0;1
2395600;13176;3.0;1
2721939;18881;7.0;0
391529;40338;8.0;1
3297175;24082;2.0;0
1143611;27790;2.0;0
688306;22713;9.0;0
633095;2880;16.0;1
2946878;44632;9.0;1
1169985;6902;4.0;0
289332;24799;13.0;0
165853;41540;5.0;1
1514831;8277;4.0;1
1435127;23271;4.0;0
2026591;2002;15.0;0
1773175;25330;7.0;0
1778570;39275;15.0;0
2661568;27695;3.0;0
3042490;3896;3.0;0
3020668;38544;3.0;1
3268052;45007;11.0;1
1937125;5785;1.0;1
3134062;13176;6.0;1
1974350;22849;20.0;0
436918;21847;2.0;1
2590989;17949;3.0;1
1458832;16797;16.0;1
3073683;260;18.0;0
2439098;22124;9.0;0
2439080;4945;12.0;1
3168205;28836;14.0;0
2052614;25167;4.0;0
910746;33120;19.0;1
923103;15392;18.0;0
2309601;36696;4.0;0
2958178;39877;4.0;1
1072515;13870;19.0;0
1672759;40214;31.0;0
1540109;7503;5.0;1
1282568;34584;1.0;1
2305888;39877;7.0;1
2914102;11914;15.0;1
1285969;40146;21.0;0
1710170;42736;5.0;0
1614764;1034;4.0;1
976506;184;3.0;0
2087497;9076;13.0;0
1152364;23892;1.0;1
2204605;9047;4.0;1
2549935;31495;4.0;0
3133063;16568;5.0;1
2530844;27845;1.0;1
3178212;27845;2.0;1
667323;33548;21.0;1
2469945;27701;7.0;1
1868877;27845;2.0;1
3387686;7806;1.0;1
1845390;27356;8.0;0
2085146;12606;17.0;1
1444711;38797;4.0;0
1521104;46676;10.0;0
3284309;24852;8.0;1
310594;9940;7.0;0
1455670;28682;6.0;1
1122406;36772;19.0;0
2520478;25438;13.0;0
3192137;2538;24.0;1
2659534;25706;8.0;1
2509877;2374;1.0;0
2203598;16291;4.0;1
3363747;42356;6.0;0
2069424;28764;2.0;0
1405313;49416;5.0;1
524822;16384;1.0;1
381015;27104;30.0;0
2470674;13870;20.0;1
1081209;18594;6.0;1
979523;4620;1.0;0
3058440;34362;1.0;1
411816;15333;8.0;1
233230;23554;14.0;0
872257;42834;9.0;0
2087176;29094;9.0;0
191600;39984;4.0;1
399309;47717;41.0;0
1383493;39475;16.0;1
792340;36550;2.0;1
504032;9836;1.0;1
1558255;29388;1.0;1
984227;48104;14.0;0
17262;31618;20.0;1
2672450;47388;12.0;1
2000724;46979;1.0;1
1145500;21137;1.0;1
2932786;14702;6.0;0
2032729;5876;1.0;0
332271;27966;2.0;1
1577318;33936;1.0;0
1550437;13176;17.0;0
3290332;21055;9.0;0
544926;11714;18.0;1
2609554;6649;12.0;0
2235508;43565;24.0;1
1464441;23288;10.0;1
554889;43122;14.0;1
1837700;42585;17.0;0
1519933;7090;8.0;0
2130588;28226;5.0;1
322744;8138;15.0;1
2923634;30561;12.0;1
641516;11042;1.0;0
1406975;40056;1.0;0
1064943;2966;10.0;0
1400795;26604;3.0;1
1610035;23541;14.0;1
2818336;48180;10.0;1
3190723;37250;21.0;0
1034245;1559;7.0;1
892607;17949;6.0;1
2187139;8475;4.0;1
1782789;29794;9.0;0
1341740;45873;3.0;0
2973359;33874;2.0;0
2894089;4927;15.0;1
1173816;30353;11.0;0
1239108;20345;4.0;1
1438310;4656;11.0;1
889809;27437;16.0;0
2047299;13984;3.0;1
1973667;24852;1.0;0
1365267;23516;23.0;0
2758982;45957;20.0;1
1653777;31883;17.0;1
726278;15290;6.0;0
3186787;48747;5.0;1
955320;10396;8.0;1
2316035;47890;5.0;0
2892581;23029;9.0;1
895920;4605;20.0;1
115775;43001;4.0;0
997131;5015;10.0;0
2779816;28427;5.0;0
239485;24964;6.0;0
2678804;43662;1.0;1
54521;16525;1.0;1
3276415;42699;1.0;0
657323;39928;6.0;1
900683;47074;12.0;0
2757973;20785;6.0;1
25845;39475;19.0;0
1697494;35782;11.0;1
1540930;28733;11.0;0
872996;329;3.0;0
5127;13113;9.0;1
1919666;28199;1.0;1
183666;9076;6.0;1
2794063;27336;8.0;0
1170681;39558;8.0;1
1704844;35140;8.0;0
566031;13252;13.0;1
1551342;39560;2.0;0
2144601;38271;8.0;0
1589588;44949;1.0;1
1462254;18352;10.0;1
1338382;27966;2.0;1
2902383;22260;5.0;1
2799465;21195;16.0;0
1052414;29329;14.0;0
